[description:"Buuyh milk" end:"1292364327" entry:"1292364216" status:"deleted" uuid:"4059b1dc-7a69-3e1d-9cfa-6e7928b404f4"]
[description:"baseline puma" end:"1294013088" entry:"1292425482" status:"deleted" uuid:"6b16a3f4-d9d8-812d-dfd1-74d3bb352e88"]
[description:"Follow-up with SE on email cross" end:"1294086908" entry:"1294023297" project:"sf" status:"completed" uuid:"ea96af83-2f23-ad48-107f-1b28b70fdbbc"]
[description:"email Tara about bereavement book" end:"1294235486" entry:"1294013033" project:"Gail" status:"completed" tags:"email" uuid:"549aeebb-0d19-a8f1-dd21-1d1fded98e8d"]
[description:"email Tara about memorial programs" end:"1294235486" entry:"1294013117" project:"Gail" status:"completed" tags:"email" uuid:"5cf68275-4733-a23c-68db-045d13078fbd"]
[description:"Call Will about downstairs apartment eviction" end:"1294235503" entry:"1294023257" project:"sigsbee" status:"completed" tags:"call" uuid:"0a07ba73-ebc8-157d-0d3b-4e938b215845"]
[description:"look up SAN" end:"1294266182" entry:"1294241241" project:"sf" status:"completed" uuid:"fff267bb-46fd-4f62-5e02-8b58d1bf8447"]
[depends:"ccfb70fc-d47f-2035-e306-a4ea0a58bd97" description:"Get cashier check for home closing" due:"1294203600" end:"1294266202" entry:"1294023237" project:"refi" status:"completed" uuid:"29951996-c6bc-e36e-7ad7-5f244b2e5e07"]
[description:"Email status to Brian" due:"1325739600" end:"1331391585" entry:"1331391519" imask:"52" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"6c95e8a8-b512-6855-1023-b24634cbc282"]
[description:"Email status to Brian" due:"1326344400" end:"1331391585" entry:"1331391519" imask:"53" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"e17c9144-766d-eb2f-c537-77dab968beaa"]
[description:"Email status to Brian" due:"1326949200" end:"1331391585" entry:"1331391519" imask:"54" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"f2693bda-147f-fafb-f236-9005a6d547f4"]
[description:"Email status to Brian" due:"1327554000" end:"1331391585" entry:"1331391519" imask:"55" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"96dd1a72-ef1e-9098-2cec-de175ec95cdf"]
[description:"Email status to Brian" due:"1328158800" end:"1331391585" entry:"1331391519" imask:"56" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"2ac35353-261b-7b39-7154-06b548ea4c96"]
[description:"Email status to Brian" due:"1328763600" end:"1331391585" entry:"1331391519" imask:"57" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"659b8efb-406b-ba53-ba7b-1305bfffb851"]
[description:"Email status to Brian" due:"1329368400" end:"1331391585" entry:"1331391519" imask:"58" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"ded6cc10-c7c8-11bd-b28c-592081f3a447"]
[description:"Email status to Brian" due:"1329973200" end:"1331391585" entry:"1331391519" imask:"59" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"21dedefa-6b27-cd47-fd45-665e7511959c"]
[description:"Email status to Brian" due:"1330578000" end:"1331391585" entry:"1331391519" imask:"60" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"76a459eb-4020-d78d-4c2a-2789c9b6e425"]
[description:"Email status to Brian" due:"1331182800" end:"1331391585" entry:"1331391519" imask:"61" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"acaf68aa-9db6-4338-f521-daa935f19174"]
[description:"Email status to Brian" due:"1331787600" end:"1331391585" entry:"1331391519" imask:"62" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"e1349ee2-b99f-cc7b-29cf-3786c8769ea7"]
